City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
172,Tessalit,ML,2022-12-28 04:01:48,20.1986,1.0114,63.34,30,100,10.63
173,Siocon,PH,2022-12-28 04:01:48,7.7061,122.1353,82.27,77,100,7.81
174,Gobabis,NA,2022-12-28 04:01:48,-22.45,18.9667,69.4,62,98,11.97
175,Comodoro Rivadavia,AR,2022-12-28 03:57:59,-45.8667,-67.5,62.46,17,0,13.8
176,Huarmey,PE,2022-12-28 04:01:49,-10.0681,-78.1522,69.82,84,100,8.23
177,Berlevåg,NO,2022-12-28 04:01:49,70.8578,29.0864,19.35,73,94,31.07
178,Makushino,RU,2022-12-28 04:01:50,55.2103,67.2442,-1.35,98,8,5.86
179,Iqaluit,CA,2022-12-28 04:01:50,63.7506,-68.5145,-5.21,89,99,3.85
180,Labuhan,ID,2022-12-28 03:58:00,-6.8844,112.2051,84.07,72,93,9.66
181,Tarakan,ID,2022-12-28 04:01:50,3.3,117.6333,81.99,67,100,2.51
182,Leningradskiy,RU,2022-12-28 04:01:51,69.3833,178.4167,-23.42,99,92,5.68
183,Kahului,US,2022-12-28 04:01:51,20.8947,-156.47,76.84,77,19,11.01
184,Bengkulu,ID,2022-12-28 04:01:52,-3.8004,102.2655,82.89,66,100,7.63
185,Gizo Government Station,SB,2022-12-28 04:01:52,-8.103,156.8419,86.16,67,100,13.38
186,Katobu,ID,2022-12-28 03:58:02,-4.9408,122.5276,82.83,69,100,4.79
187,Sīra,IN,2022-12-28 03:58:02,13.7453,76.9092,75.92,67,10,6.69
188,Honiara,SB,2022-12-28 04:01:52,-9.4333,159.95,83.44,74,100,5.57
189,Sindor,RU,2022-12-28 04:01:53,62.8629,51.8905,-7.89,100,99,4.32
190,Narsaq,GL,2022-12-28 04:01:53,60.9167,-46.05,17.82,74,87,7.72
191,São Filipe,CV,2022-12-28 04:01:53,14.8961,-24.4956,70.07,59,37,9.42
192,Ahipara,NZ,2022-12-28 04:01:54,-35.1667,173.1667,66.42,86,66,4.07
